INDEX NUMBER,CMIS3114,CMIS3122,ELPCCCBE,ELTN3113,ELTN3121,ELTN3133,ELTN3141,STAT3112,STAT3124,
182113,B+,A+,-,C,B+,-,-,D+,C,
182033,A-,-,-,C+,A,-,-,C+,C+,
