INDEX NUMBER,CMIS4114,CMIS4134,CMIS4142,ELTN4114,ELTN4122,ELTN4143,ELTN4151,
172045,C,B-,B,B+,C+,D+,A-,
172012,B-,A+,A,A,A,B-,A+,
